"题号","题干","A","B","C","D","E","答案","难度","题型"
"352","社会主义建设开始后，党对我国社会的主要矛盾有了较为正确的认识，据此提出我国的根本任务是(    )。","阶级斗争","继续进行无产阶级革命","为实现中华民族伟大复兴提供充满新的活力体制保证和快速发展的物质条件","在新的生产关系下保护和发展生产力","","D","无","单选题"
"353","正式使用""邓小平理论""概念，并将其确立为党的指导思想写入党章是在党的(     )。","十七大","十四大","十五大","十六大","","C","无","单选题"
"354","（    ）是社会主义政治制度的自我完善和发展。","政治体制改革","经济体制改革","全面深化改革","领导干部人事制度改革","","A","无","单选题"
"355","1992年党的十四大系统总结了改革开放以来十四年取得的巨大成就，同时指出：""我们党所以能够取得这样的胜利，根本原因是在十四年的伟大实践中，坚持把（    ）同中国具体实际相结合，逐步形成和发展了建设有中国特色社会主义的理论。""","科学社会主义","毛泽东思想","马克思主义基本原理","国外成功经验","","C","无","单选题"
"356","（ ）是党的根本组织制度和领导制度，是最便利、最合理的制度。","多党合作制","民主集中制","基层群众自治制度","人民代表大会制度","","B","无","单选题"
"357","三个代表重要思想对解决台湾问题、实现祖国统一方面提出了（    ）。","发展两岸关系的八项主张","和平统一、一国两制的方针","建立两岸军事安全互信机制","新时代党解决台湾问题的总体方略","","A","无","单选题"
"358","毛泽东认为，要大兴（　 ）之风，总结正反两方面经验教训，找出社会主义建设的客观规律，制定适合中国情况的方针和政策。","调整巩固","调查整顿","改革建设","调查研究","","D","无","单选题"
"359","20世纪80年代末90年代初，和平与发展仍然是时代的主题，（    ）仍然在曲折中获得了发展，这也为我国的社会主义建设带来了一个难得的相对稳定的和平的外部环境。","全球一体化","世界多极化","世界单极化","逆全球化","","B","无","单选题"
"360","我国改革开放和社会主义现代化建设的崭新实践，是（    ）生机勃勃的伟大创造，是理论发展的源泉。","知识分子","党中央","人民群众","社会先锋","","C","无","单选题"
"361","积极参与（    ）是包括我国在内的发展中国家实现现代化的必由之路。","经济全球化","逆全球化","军备竞赛","信息研究","","A","无","单选题"
"362","1956年9月，党的八大集中讨论了执政党的建设问题，根据苏联社会主义建设的经验教训，强调坚持（　　）和集体领导制度。","健全党内民主","人民民主专政","少数服从多数","民主集中制","","D","无","单选题"
"363","（    ）是先进生产力的开拓者，在改革开放和现代化建设中有着特殊重要的作用。","农民","工人","知识分子","技术人员","","C","无","单选题"
"364","20世纪70年代，经济全球化深入发展促使世界各国经济日益紧密联系在一起。（    ）成为综合国力竞争的焦点。","科技竞争","人力资源竞争","殖民地竞争","军事竞争","","A","无","单选题"
"365","以胡锦涛同志为主要代表的中国共产党人，创造性地回答了（    ）这一重大问题。","什么是社会主义、怎样建设社会主义","实现什么样的发展、怎样发展","建设什么样的党、怎样建设党","什么是马克思主义、怎样发展马克思主义","","B","无","单选题"
"366","进入21世纪，国际环境中（    ）因素增多，我国发展的外部条件复杂多变。","不稳定不确定","不统一不和谐","两极分化","发展不平衡","","A","无","单选题"
"367","1987年召开的党的十三大，第一次比较系统地论述了我国社会主义初级阶段理论，明确概括和全面阐发了党的（    ）的基本路线。","三步走发展战略","社会主义全面发展","一个中心、两个基本点","四项基本原则","","C","无","单选题"
"368","完善基层群众自治制度，发展基层民主，是社会主义民主政治建设的（  ）。","重心","基础","根本","保障","","B","无","单选题"
"369","世界进入新的动荡变革期的具体表现不包括（    ）。","世界经济复苏强劲","世纪疫情影响深远","逆全球化思潮抬头","局部冲突和动荡频发","","A","无","单选题"
"370","2006年1月1日起废止了（  ），一个在我国存在了2600年的古老税种宣告终结。","《中华人民共和国印花税条例》","《中华人民共和国农业税条例》","《中华人民共和国土地税条例》","《中华人民共和国消费税条例》","","B","无","单选题"
"371","1978年12月召开的党的十一届三中全会，重新确立了（    ）的思想路线，彻底否定了""以阶级斗争为纲""的错误理论和实践。","独立自主","群众路线","实事求是","深化改革","","C","无","单选题"
"372","对共产党和民主党派的矛盾，毛泽东提出了实行在坚持社会主义道路和共产党领导的前提下（   ）的方针。","长期共存、互相监督","统筹兼顾、适当安排","坚持民主集中制","绝对领导","","A","无","单选题"
"373","（  ）是我们党解决民族问题的一个重大创造。","民族宗教信仰自由制度","民族区域自治制度","各民族共同繁荣发展","民族团结","","B","无","单选题"
"374","1979年3月30日，邓小平在党的理论工作务虚会上指出，实现四个现代化的根本前提是（ ）。","坚持四项基本原则","坚持改革开放","以经济建设为中心","坚持党的领导","","A","无","单选题"
"375","坚持（  ），就是要按照中国特色社会主义事业总体布局，正确认识和把握经济建设、政治建设、文化建设、社会建设、生态文明建设是相互联系、相互促进的有机统一体。","绿色发展","全面发展","共享发展","统筹发展","","B","无","单选题"
"376","20世纪80年代末90年代初，如何加快推进社会主义现代化，把一个繁荣发展的社会主义中国带入21世纪，是对我们党的重大考验。以下关于这一时期的表述不正确的是（    ）。","我们党历经革命、建设和改革,已经从领导人民为夺取全国政权而奋斗的党，成为领导人民掌握全国政权并长期执政的党","我们党的队伍进入整体性交接的关键时刻，一大批年轻干部走上了各级领导岗位","经过整风运动，党员干部端正了思想方法和政治路线，反腐败斗争取得了全面胜利","已经从受到外部封锁和实行计划经济条件下领导国家建设的党，成为对外开放和发展社会主义市场经济条件下领导国家建设的党","","C","无","单选题"
